City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Seoul,KR,37.5683,126.9778,49.6,71,75,3.44,broken clouds
265,Richards Bay,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
266,Dalbandin,PK,31.3411,69.4481,71.46,23,84,0.38,broken clouds
267,Topeka,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
268,Copiapo,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
269,Torbay,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
270,Pevek,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
271,Dmitrovsk-Orlovskiy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
272,Beterou,BJ,9.1992,2.2586,85.3,52,99,3.27,light rain
273,Lompoc,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
274,Upernavik,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
275,Lagoa,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
276,Sisimiut,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
277,Anadyr,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
278,Viedma,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
279,Bonthe,SL,7.5264,-12.505,79.14,75,100,9.82,overcast clouds
280,Deputatskiy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
281,Boyuibe,BO,-20.4597,-66.825,56.43,8,1,17.56,clear sky
282,Wajima,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
283,Acapulco,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
284,Port-Gentil,GA,-2.65,10.0,77.97,90,100,4.34,overcast clouds
285,Lincoln,GB,60.3964,-1.353,47.32,81,100,15.75,overcast clouds
286,Caxito,AO,-14.6585,17.691,62.87,95,19,3.74,few clouds
287,Olinda,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
288,Otofuke,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
289,Uskedal,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
290,East London,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
291,Bria,CF,6.5423,21.9863,71.85,93,91,0.67,light rain
292,Esperance,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
293,Coahuayana,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
294,Shouguang,IT,46.6166,10.7002,49.08,82,15,3.96,few clouds
295,Jiayuguan,IT,46.6166,10.7002,49.08,82,15,3.96,few clouds
296,Caravelas,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
297,Oyama,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
298,Saint-Georges,GF,4.9333,-52.3333,84.24,1,75,14.97,broken clouds
299,Lavrentiya,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
300,Neuquen,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
301,Pacific Grove,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
302,Kodinsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
303,La Ronge,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
304,Kyaikto,MM,17.3,97.0167,81.57,78,20,0.4,few clouds
305,Roma,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
306,North Creek,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
307,Fortuna,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
308,Cabo San Lucas,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
309,Indramayu,ID,-3.3667,135.4833,75.38,91,93,2.86,moderate rain
310,Ardesen,TR,38.2059,37.1983,56.86,45,100,4.88,overcast clouds
311,Faanui,PF,-9.8,-139.0333,79.9,77,12,17.29,few clouds
312,Veraval,IN,10.5669,72.642,83.34,74,59,4.88,broken clouds
313,Salvador,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
314,Port Augusta,AU,-37.8333,140.7667,53.51,94,100,9.22,overcast clouds
315,Attawapiskat,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
316,Constitucion,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
317,Salalah,OM,17.0151,54.0924,79.63,85,18,2.19,few clouds
318,Yerbogachen,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
319,Saravan,LA,18.5007,102.4166,74.73,88,45,0.43,scattered clouds
320,Kruisfontein,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
321,Raudeberg,NO,70.3705,31.1107,35.58,93,75,11.5,light intensity drizzle
322,Kahului,US,41.3712,-73.414,49.53,45,97,1.99,overcast clouds
323,Igarka,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
324,Hambantota,LK,8.5711,81.2335,79.54,85,20,9.55,few clouds
325,Ponta Do Sol,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
326,Watrous,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
327,Chernigovka,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
328,Poum,NC,-20.2333,164.0167,78.08,67,87,7.07,overcast clouds
329,Aranda De Duero,ES,42.7762,-9.0603,57.83,80,8,11.39,clear sky
330,Narsaq,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
331,Okhotsk,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
332,Sentyabrskiy,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
333,Oussouye,SN,12.485,-16.5469,77.18,71,5,14.07,clear sky
334,Ciudad Bolivar,VE,10.6112,-66.8522,84.27,70,75,3.44,broken clouds
335,Valdivia,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
336,Umm Lajj,SA,29.9697,40.2064,74.77,13,0,9.1,clear sky
337,Bida,NG,10.5222,7.4383,75.18,80,100,9.1,moderate rain
